1 1 1 40,825046 0,345625
1 2 1 41,868696 0,339795
1 3 1 40,570272 0,272512
2 1 1 41,291328 0,259709
2 2 1 43,126968 0,285672
2 3 1 41,516675 0,285478
3 1 1 41,441182 0,231502
3 2 1 41,130918 0,237838
3 3 1 41,902295 0,276409
4 1 1 42,040923 0,246121
4 2 1 40,099322 0,261990
4 3 1 39,042555 0,229444
5 1 1 42,059983 0,223435
5 2 1 41,177889 0,278866
5 3 1 41,720133 0,257519
6 1 1 39,630284 0,243717
6 2 1 41,088863 0,222875
6 3 1 40,912560 0,255426
7 1 1 39,238708 0,234746
7 2 1 39,801709 0,216090
7 3 1 42,776633 0,271141
8 1 1 39,420157 0,252596
8 2 1 41,402121 0,241668
8 3 1 40,593831 0,041030
9 1 1 40,751231 0,319917
9 2 1 43,769454 0,241277
9 3 1 42,059368 0,284059
10 1 1 42,083871 0,238066
10 2 1 43,208065 0,279510
10 3 1 41,046008 0,442905
11 1 1 40,586926 0,223830
11 2 1 39,971895 0,238727
11 3 1 42,447939 0,252202
12 1 1 41,026127 0,213460
12 2 1 40,334192 0,217625
12 3 1 40,544947 0,262222
13 1 1 42,671873 0,211448
13 2 1 41,551782 0,245582
13 3 1 40,032696 0,230788
14 1 1 40,616849 0,183538
14 2 1 43,265647 0,243192
14 3 1 42,813929 0,257775
15 1 1 41,160671 -0,199191
15 2 1 40,970267 0,239787
15 3 1 42,842283 0,248890
16 1 1 40,641035 0,235059
16 2 1 39,917023 0,225819
16 3 1 39,148454 0,215338
17 1 1 41,382050 0,306548
17 2 1 41,003219 0,162118
17 3 1 41,072773 0,215197
18 1 1 41,674062 0,238699
18 2 1 42,493115 0,684372
18 3 1 41,652358 0,259859
19 1 1 43,157295 0,180463
19 2 1 42,015635 0,230319
19 3 1 44,254543 0,239034
20 1 1 42,308070 0,257606
20 2 1 41,851176 0,237620
20 3 1 43,524334 0,253656
21 1 1 43,900149 0,346902
21 2 1 42,126855 0,202317
21 3 1 43,011588 0,256955
22 1 1 42,511057 0,201390
22 2 1 44,098266 0,224150
22 3 1 44,483432 0,225853
23 1 1 42,851193 0,193402
23 2 1 43,524537 0,230450
23 3 1 42,421880 0,334269
24 1 1 41,547199 0,243054
24 2 1 40,035992 0,231079
24 3 1 41,103019 0,297757
