1 1 1 0,859720 0,135092
1 2 1 0,679459 -2,259832
1 3 1 0,718374 -0,621696
2 1 1 0,486217 -0,500289
2 2 1 0,664681 -0,414783
2 3 1 0,613827 -0,098466
3 1 1 0,597485 -0,142563
3 2 1 0,621347 -0,112873
3 3 1 0,597784 -0,146562
4 1 1 0,815742 -1,236770
4 2 1 0,574625 1,047949
4 3 1 0,530080 2,182823
5 1 1 0,909364 -0,358863
5 2 1 0,861547 -0,063553
5 3 1 0,824554 0,003541
6 1 1 0,790560 0,695345
6 2 1 0,912934 -0,166172
6 3 1 0,750854 -0,235074
7 1 1 0,842253 -0,052939
7 2 1 0,742335 0,261008
7 3 1 0,677551 -0,357208
8 1 1 0,740434 0,470139
8 2 1 0,783640 0,172496
8 3 1 0,538906 0,559690
9 1 1 0,816471 1,423059
9 2 1 0,568051 -2,619263
9 3 1 0,528730 -0,050815
10 1 1 0,490584 1,369997
10 2 1 0,741866 -1,071051
10 3 1 0,557370 -0,638789
11 1 1 0,744411 -0,280234
11 2 1 0,844322 1,264574
11 3 1 0,461395 -1,715566
12 1 1 0,835907 -0,904054
12 2 1 0,775539 -0,922917
12 3 1 0,390612 0,491536
13 1 1 0,788577 -1,229061
13 2 1 0,811732 -0,121218
13 3 1 0,778333 -0,112499
14 1 1 0,544037 -0,378910
14 2 1 0,597700 -0,658580
14 3 1 0,734473 -1,778101
15 1 1 0,820084 0,175717
15 2 1 0,849965 0,362345
15 3 1 0,627222 -1,575970
16 1 1 0,799837 0,197439
16 2 1 0,720489 0,965751
16 3 1 0,634895 0,429128
17 1 1 0,854475 0,360272
17 2 1 0,760649 -0,479779
17 3 1 0,809995 -0,017460
18 1 1 0,756481 -0,304107
18 2 1 0,805907 -0,021330
18 3 1 0,627193 -0,093509
19 1 1 0,927730 0,407090
19 2 1 0,442838 -1,171444
19 3 1 0,942455 0,186511
20 1 1 1,098811 -0,964743
20 2 1 0,555714 0,799291
20 3 1 0,377472 1,640901
21 1 1 0,798579 0,295524
21 2 1 0,762046 -0,089714
21 3 1 0,740106 -0,649430
22 1 1 0,726680 -0,412492
22 2 1 0,605499 0,116697
22 3 1 0,475689 -1,884213
23 1 1 0,758989 -0,257706
23 2 1 0,501005 -0,726433
23 3 1 0,747937 -0,232427
24 1 1 0,869509 -0,607384
24 2 1 0,823811 -0,568934
24 3 1 0,744109 -0,208234
